"시도별",2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
"시도별",엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",57997,2867585,39236,2316755,35481,6028,2138932,24188,4381,1059713,16170,4684,757376,8018,3771,302337,11293,9557,1079219,3755,4736,177823,6810,112738,3483,1509,52569,3327,1809,60169,6778,178998,1544,2193,33862,5234,2773,145136,5173,5009,259094
"서울특별시",462,13560,106,5749,65,4978,3236,49,3312,1623,49,3313,1623,0,0,0,16,10083,1613,41,6129,2513,178,3139,124,1831,2270,54,1610,869,178,4672,5,2098,105,173,2640,4567,0,0,0
"부산광역시",1081,63533,660,51202,476,8260,39316,248,5550,13764,248,5550,13764,0,0,0,228,11207,25552,184,6460,11886,94,1302,57,1505,858,37,1200,444,286,8360,201,3072,6175,85,2570,2185,41,6509,2669
"대구광역시",983,44237,513,33991,310,7368,22842,259,6940,17975,259,6940,17975,0,0,0,51,9543,4867,203,5492,11149,175,1960,65,1540,1001,110,872,959,260,6756,141,1870,2637,119,3461,4119,35,4370,1530
"인천광역시",1047,36802,264,19378,176,7952,13996,48,3694,1773,48,3693,1773,0,0,0,128,9549,12223,88,6116,5382,164,2374,70,1486,1040,94,1419,1334,619,15050,94,1909,1794,525,2525,13256,0,0,0
"광주광역시",531,35889,391,30918,285,8509,24251,102,5000,5100,102,5000,5100,0,0,0,183,10465,19151,106,6290,6667,32,708,17,1250,213,15,3300,495,108,4263,40,3110,1244,68,4440,3019,0,0,0
"대전광역시",195,10690,112,9114,87,8859,7707,4,4850,194,4,4851,194,0,0,0,83,9052,7513,25,5628,1407,25,470,17,1823,310,8,1999,160,58,1106,11,2443,269,47,1780,837,0,0,0
"울산광역시",291,16073,190,13473,160,7591,12145,58,5219,3027,58,5219,3027,0,0,0,102,8939,9118,30,4427,1328,48,816,36,1652,595,12,1844,221,53,1784,36,3320,1195,17,3466,589,0,0,0
"경기도",8913,359472,4120,250229,2655,7152,189886,1015,4974,50486,1015,4974,50486,0,0,0,1640,8500,139400,1465,4119,60343,2119,39880,213,1408,2999,1906,1935,36881,2592,65821,258,1774,4577,2334,2624,61244,82,4319,3542
"강원도",9123,377249,7775,326774,7696,4204,323564,6974,3912,272829,1329,4282,56908,5645,3825,215921,722,7027,50735,79,4063,3210,142,2274,103,1654,1704,39,1461,570,160,3840,73,2359,1722,87,2435,2118,1046,4241,44361
"충청북도",2957,158026,2553,145315,2477,5706,141339,1701,4691,79794,1696,4693,79593,5,4014,201,776,7931,61545,76,5232,3976,114,1890,34,1177,400,80,1862,1490,115,3338,34,1974,671,81,3293,2667,175,4276,7483
"충청남도",4269,306185,3123,275402,2730,9384,256188,521,3695,19251,521,3695,19251,0,0,0,2209,10726,236937,393,4889,19214,315,5625,104,1440,1498,211,1956,4127,399,8275,32,1728,553,367,2104,7722,432,3908,16883
"전라북도",4220,258338,3326,226915,3084,6972,215011,1744,3764,65641,441,4499,19841,1303,3515,45800,1340,11147,149370,242,4919,11904,168,2579,128,1490,1907,40,1680,672,472,14780,65,1981,1288,407,3315,13492,254,5537,14064
"전라남도",11957,623470,8727,521095,8383,6018,504480,6807,5023,341916,6807,5023,341916,0,0,0,1576,10315,162564,344,4830,16615,1656,28685,1144,1769,20237,512,1650,8448,734,24206,147,2770,4072,587,3430,20134,840,5891,49484
"경상북도",5296,242502,4172,216176,3923,5269,206704,2890,4268,123341,2491,4391,109380,399,3499,13961,1033,8070,83363,249,3804,9472,508,8003,316,1499,4737,192,1701,3266,268,5544,126,1961,2471,142,2164,3073,348,3672,12779
"경상남도",3845,168483,2299,142673,2071,6275,129948,1165,3424,39892,499,2693,13438,666,3972,26454,906,9940,90056,228,5581,12725,1010,12202,995,1208,12020,15,1211,182,412,10094,231,1871,4322,181,3189,5772,124,2834,3514
"제주도",2827,153076,905,48351,903,5351,48319,603,3832,23107,603,3832,23107,0,0,0,300,8404,25212,2,1600,32,62,831,60,1300,780,2,2533,51,64,1109,50,1533,767,14,2441,342,1796,5723,102785
