"시도별",2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001
"시도별",조미채소:면적 (ha),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),생강:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",158279,2548106,76253,411750,70736,255,180120,5517,4198,231630,23987,635713,22066,2647,584004,1921,2692,51709,13519,2873,388406,12136,2876,349075,1383,2844,39331,10468,2363,247307,9930,2366,234929,538,2301,12378,18995,5653,1073708,1926,1067,20550,37118,1095,406385
"서울특별시",325,7819,34,165,30,156,47,4,2938,118,290,7647,202,2615,5283,88,2686,2364,289,2637,7622,201,2616,5258,88,2686,2364,1,2500,25,1,2485,25,0,0,0,0,0,0,0,0,0,1,700,7
"부산광역시",1393,47524,114,1081,77,211,163,37,2482,918,1248,45878,1153,3622,41758,95,4337,4120,995,3952,39324,908,3900,35412,87,4497,3912,253,2591,6554,245,2590,6346,8,2594,208,6,6045,363,0,0,0,25,808,202
"대구광역시",1136,21866,224,2009,188,195,366,36,4563,1643,481,10645,428,2243,9602,53,1968,1043,430,2217,9531,387,2250,8708,43,1913,823,51,2184,1114,41,2180,894,10,2200,220,102,5358,5465,0,0,0,329,1139,3747
"인천광역시",1489,16513,856,3405,822,233,1918,34,4373,1487,460,11940,419,2515,10538,41,3420,1402,361,2752,9934,323,2654,8572,38,3585,1362,99,2026,2006,96,2048,1966,3,1320,40,11,2021,222,0,0,0,162,584,946
"광주광역시",869,27977,717,25099,181,245,443,536,4600,24656,99,2174,94,2115,1988,5,3720,186,73,2177,1589,68,2063,1403,5,3710,186,26,2250,585,26,2249,585,0,0,0,4,5544,222,1,848,8,48,988,474
"대전광역시",296,3357,199,1058,178,212,377,21,3244,681,75,2135,50,2924,1462,25,2692,673,66,2953,1949,44,3013,1326,22,2830,623,9,2067,186,6,2274,136,3,1670,50,1,4350,44,0,0,0,21,571,120
"울산광역시",368,3750,232,810,223,210,468,9,3800,342,80,1744,79,2176,1719,1,2500,25,34,2694,916,33,2700,891,1,2500,25,46,1800,828,46,1801,828,0,0,0,20,4533,907,0,0,0,36,803,289
"경기도",10595,119208,6011,14568,5740,155,8907,271,2089,5661,3622,97198,2731,2708,73943,891,2610,23255,2998,2735,81991,2252,2760,62155,746,2659,19836,624,2437,15207,479,2461,11788,145,2358,3419,45,2940,1323,8,1148,92,909,663,6027
"강원도",6665,48323,5230,18693,5019,232,11652,211,3337,7041,650,14557,602,2182,13136,48,2960,1421,394,2262,8913,373,2211,8247,21,3172,666,256,2205,5644,229,2135,4889,27,2796,755,218,5032,10969,3,880,26,564,723,4078
"충청북도",13031,66889,11211,35300,11027,272,29951,184,2907,5349,916,24991,838,2732,22895,78,2687,2096,762,2773,21130,704,2781,19578,58,2676,1552,154,2507,3861,134,2475,3317,20,2719,544,30,5221,1566,11,1108,122,863,569,4910
"충청남도",17125,178309,8250,34166,7793,258,20072,457,3084,14094,3977,88854,3745,2233,83640,232,2247,5214,772,2035,15709,710,1987,14108,62,2582,1601,3205,2282,73145,3035,2291,69532,170,2125,3613,264,4350,11484,1319,1000,13190,3315,924,30615
"전라북도",12048,102270,9121,29268,8858,274,24237,263,1913,5031,1349,37057,1227,2721,33387,122,3008,3670,971,2929,28441,875,2911,25471,96,3094,2970,378,2279,8616,352,2249,7916,26,2691,700,502,4829,24242,337,1206,4064,739,1034,7639
"전라남도",42829,976242,10716,65807,9567,289,27660,1149,3320,38147,6813,211720,6720,3113,209162,93,2751,2558,3475,3413,118613,3448,3411,117611,27,3710,1002,3338,2789,93107,3272,2798,91551,66,2357,1556,9353,5544,518530,78,1122,875,15869,1130,179310
"경상북도",28352,336614,18527,56108,18124,262,47512,403,2133,8596,1689,40227,1576,2374,37412,113,2491,2815,1129,2634,29742,1065,2631,28020,64,2690,1722,560,1872,10485,511,1838,9392,49,2230,1093,3401,5624,191272,157,1311,2058,4578,1026,46949
"경상남도",15860,445846,4783,123945,2893,219,6330,1890,6223,117615,1160,20703,1132,1761,19938,28,2732,765,566,1763,9981,541,1718,9294,25,2749,687,594,1805,10722,591,1801,10644,3,2594,78,3811,6045,230375,11,1000,110,6095,1160,70713
"제주도",5898,145599,28,268,16,103,17,12,2093,251,1078,18243,1070,1695,18141,8,1275,102,204,1481,3021,204,1481,3021,0,0,0,874,1742,15222,866,1746,15120,8,1281,102,1227,6253,76724,1,500,5,3564,1413,50359
